Id;Label;True Community;Detected Community;
87;CBVIV;null;0
86;CBZ9z:32;1;11621
81;CBZ9z:29;1;11621
80;CBZ9z:28;2;11721
83;B_E5N;null;0
82;CBZ9z:30;1;11621
93;CBZ9z:33;3;11621
92;B_FSP;null;0
95;FJEd4;null;0
94;B_HmK;null;0
89;CD8as;null;0
88;Cd2-E;null;0
91;B_qh_;null;0
90;CLX-C;null;0
102;FGiXB;null;0
103;B_PKE;null;0
100;G6Vn65;null;0
101;JXOp9-;null;0
98;CBZ9z:36;4;10571
99;G6Vn43;null;0
96;CBZ9z:34;3;11621
97;CBZ9z:35;1;11621
110;Ciotg;null;0
111;CBZ9z:42;1;11621
108;D5Eb6;null;0
109;CBZ9z:41;1;411
106;CBZ9z:39;1;11621
107;CBZ9z:40;1;11621
104;CBZ9z:37;1;11621
105;CBZ9z:38;4;10571
119;B4LtEo;null;0
118;B_VgX;null;0
117;CBZ9z:44;1;11621
116;CBZ9z:43;2;11721
115;CKX0r;null;0
114;Dvyfg;null;0
113;Cc9jW;null;0
112;CGNmn;null;0
127;CBZ9z:51;1;11621
126;CBZ9z:50;2;11721
125;CBZ9z:49;2;11721
124;CBZ9z:48;1;11621
123;CBZ9z:47;1;11621
122;CBZ9z:46;1;11621
121;CBZ9z:45;1;11621
120;B_FAG;null;0
137;CBZ9z:57;1;11621
136;CBZ9z:56;1;11621
139;I2LTF2;null;0
138;CBZ9z:58;1;11621
141;DFNA4;null;0
140;CBZ9z:59;1;591
143;B_SHn;null;0
142;CBZ9z:60;1;601
129;B_G83;null;0
128;CBZ9z:52;1;11621
131;brLMj;null;0
130;Cq3tDg;null;0
133;CBZ9z:53;1;11621
132;B_Fg1;null;0
135;CBZ9z:55;1;11621
134;CBZ9z:54;1;11621
152;CS8C4;null;0
153;DqX1BI;null;0
154;DqX1BH;null;0
155;CBZ9z:65;1;11621
156;BhGkFw;null;0
157;yBmOW;null;0
158;CBZ9z:66;1;11621
159;B_E-0;null;0
144;CBZ9z:61;1;11621
145;CBZ9z:62;1;641
146;BcKqwR;null;0
147;F2oej;null;0
148;CBZ9z:63;1;11621
149;CIaPk;null;0
150;bhW_P;null;0
151;CBZ9z:64;1;641
171;CBZ9z:71;1;11721
170;B_FO1;null;0
169;B_RDR;null;0
168;CBZ9z:70;1;11621
175;GCq6s;null;0
174;CBZ9z:74;1;11621
173;CBZ9z:73;1;11621
172;CBZ9z:72;1;11621
163;CNIhZ;null;0
162;B_Gy7;null;0
161;CBZ9z:68;1;11621
160;CBZ9z:67;1;11621
167;I2J4dE;null;0
166;JZvLfb;null;0
165;B_FBk;null;0
164;CBZ9z:69;1;11621
186;mgqqU;null;0
187;B_PKL;null;0
184;CT_uwf;null;0
185;CBZ9z:80;4;10571
